"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K112-P286",NA,23.8,24.8,20.6,25.2,21,20.2,26.4,25.6,25.1,4,37,62,90,125,152,180,215,244,280
"K108-P56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K113-P619",18.7,25.6,36.7,22.7,19,23.1,18.4,20.5,18.6,18.4,31,65,94,129,156,184,221,248,277,304
"K113-P533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K113-P650",22.3,27.5,29.4,28.1,29.4,25.9,27.5,24.8,27.7,18,9,36,64,101,128,157,184,219,247,281
"K11-P147",23.3,23,22.3,22.7,21.3,22.7,19.1,18.8,18.9,NA,30,57,91,119,150,189,217,245,273,NA
"K105-P154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P1008",28.4,32.2,30,26.2,22.2,NA,NA,NA,NA,NA,72,149,225,261,307,NA,NA,NA,NA,NA
"K104-P415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P10",48.9,29,21.2,24.1,16,15.7,NA,NA,NA,NA,28,63,90,118,153,182,NA,NA,NA,NA
"K126-P1008",37.8,31.1,38.3,37.4,37.6,29.8,35.3,40.2,38,33.2,9,37,71,106,128,169,196,225,253,288
"K110-P687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K117-P70",33,36,36.5,33.9,32.6,27.8,26.5,30.4,22.5,31,39,66,93,121,150,178,212,240,268,303
"K110-P645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K105-P133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K106-P361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K107-P298",36.3,39.7,36.3,31,26.6,25.2,22.8,23.4,25.6,21.7,16,55,78,107,134,169,209,239,274,303
"K107-P318",33,26.9,28.7,27.6,25,26.7,27.1,19.1,19,14.6,18,45,76,108,139,167,206,229,258,285
"K1-P811",33,27.8,28.4,NA,NA,NA,NA,NA,NA,NA,11,52,95,NA,NA,NA,NA,NA,NA,NA
"K12-P1068",30.6,29.6,30.1,28,NA,NA,NA,NA,NA,NA,37,113,149,195,NA,NA,NA,NA,NA,NA
"K12-P770",39.1,38.6,28.2,17.3,21.5,10.2,NA,NA,NA,NA,16,93,169,205,251,338,NA,NA,NA,NA
"K126-P1277",37.4,48.8,39.1,30.9,32,33.7,22.7,26.7,22,19.7,18,40,81,108,137,165,200,228,263,291
"K112-P292",22.5,25.5,27.2,23.3,21.2,24.2,20.2,22.3,24.6,21.4,34,70,97,125,160,186,216,249,278,306
"K12-P405",24.5,22.9,23.1,10,NA,NA,NA,NA,NA,NA,153,189,235,322,NA,NA,NA,NA,NA,NA
"K126-P1053",21.8,29.8,32.4,35,30.2,26.7,25.9,33.6,26.4,NA,6,33,62,90,125,153,188,216,251,NA
"K126-P906",47.4,43.6,39.5,46.2,41,34.4,29.8,31.2,35,30.7,16,44,79,107,142,170,205,235,268,296
"K119-P64",52.2,42.2,34.9,28.3,28.9,23.4,19.1,16.6,NA,NA,35,70,105,151,188,223,257,299,NA,NA
"K102-P291",39.1,56.4,31.7,31.5,30.6,37.1,29.4,25.4,31,21.6,23,53,86,114,143,179,206,234,263,297
"K11-P166",33.1,28.2,26.8,21.2,20,17.2,13.4,NA,NA,NA,28,61,87,118,144,174,202,NA,NA,NA
"K100-P416",41.4,47,32.3,32.3,33,28.4,33,26.8,27.1,24.4,28,59,92,120,155,183,211,246,273,302
"K110-P669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P95",50.7,54,54.9,53.6,48.5,54.8,45.3,42.2,38.6,34.6,26,54,90,115,144,178,208,243,270,289
"K126-P1268",42,41,46.2,NA,NA,NA,NA,NA,NA,NA,35,57,98,NA,NA,NA,NA,NA,NA,NA
"K101-P377",17,15.4,11.8,NA,NA,NA,NA,NA,NA,NA,237,279,313,NA,NA,NA,NA,NA,NA,NA
"K103-P221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P229",32.1,25.5,16.4,NA,NA,NA,NA,NA,NA,NA,28,64,91,NA,NA,NA,NA,NA,NA,NA
"K122-P105",20,25,23,20.2,20,19.2,20,19.8,18.7,NA,22,57,85,113,148,176,204,239,267,NA
"K115-P96",27,28,22.4,23,19,23.6,21,26,20,21,24,53,88,116,144,172,206,235,263,297
"K111-P132",19.6,16.4,16.2,13,14.8,13.6,13.4,11.8,11.2,11.5,28,57,92,114,142,184,210,238,267,296
"K126-P1261",40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K106-P320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K103-P214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K106-P352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K106-P208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K10-P5",34.8,43.9,44.1,35.7,33.1,33.6,32.7,26.3,23.3,18.6,9,37,73,102,128,163,191,219,251,282
"K11-P124",21.1,26.2,24.6,21.8,28,24.5,24.6,26.6,24.4,21.6,12,38,68,96,123,157,185,216,255,283
"K123-P273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P792",29.6,18.9,6.9,NA,NA,NA,NA,NA,NA,NA,164,238,307,NA,NA,NA,NA,NA,NA,NA
"K112-P308",16.8,16.8,19.3,17.2,19.7,21.2,20.6,18.6,18.6,NA,30,65,91,121,154,183,211,250,274,NA
"K110-P671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K113-P327",29.2,39.6,32.4,37.6,24.6,28.6,22.7,29.4,20.7,25.2,26,60,89,124,151,179,216,243,272,299
"K12-P418",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P526",34.8,31,21.9,24.5,15.7,NA,NA,NA,NA,NA,57,134,210,246,292,NA,NA,NA,NA,NA
"K121-P85",46.6,46.2,53.9,53.5,49.3,46.6,45.8,40.5,36.1,29,18,59,81,110,148,172,203,226,270,301
"K103-P295",15.2,13.8,7.4,NA,NA,NA,NA,NA,NA,NA,301,336,453,NA,NA,NA,NA,NA,NA,NA
"K124-P434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P502",39,32.5,22.8,18.1,17.7,NA,NA,NA,NA,NA,66,143,219,255,301,NA,NA,NA,NA,NA
"K12-P728",39.8,28.6,25.5,25.4,10.1,NA,NA,NA,NA,NA,34,111,187,223,269,NA,NA,NA,NA,NA
"K128-P203",42.6,39.3,32.9,33.1,30.6,31.7,25.2,30.3,NA,NA,35,52,80,101,143,169,230,261,NA,NA
"K117-P74",48,52,46.4,37.4,31,29,26,21,15.7,NA,28,56,91,120,155,182,203,245,273,NA
"K120-P10",32.6,28,22,23.8,NA,NA,NA,NA,NA,NA,31,208,242,304,NA,NA,NA,NA,NA,NA
"K117-P46",52.2,51,53,51,46,38.9,33,29,25,25,31,60,95,122,143,185,213,241,276,305
"K11-P90",36.2,36.2,27.6,31.2,29.8,30.1,28.2,27.2,25.7,24.5,11,41,69,96,130,158,189,228,256,284
"K116-P120",27.6,25.3,23.9,24.2,NA,NA,NA,NA,NA,NA,31,74,106,134,NA,NA,NA,NA,NA,NA
"K104-P418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P14",30.5,52,63.4,57.2,53,33.9,44.2,33.8,37.4,39.4,22,51,85,115,150,177,196,241,263,297
"K122-P96",31,32.6,31.2,30.4,26.6,27,27,28,25.6,21.6,6,41,68,97,132,160,195,223,251,286
"K104-P416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K11-P32",31.4,31.9,32.3,27.1,21.2,19,18.6,19.3,20.9,15.2,18,49,88,116,144,172,200,228,257,285
"K112-P233",26.5,26.4,24.8,31.7,26.7,29.8,27.6,23.8,20.7,24.2,6,33,61,96,125,161,188,216,251,277
"K125-P178",37,40,40.2,39.4,32.9,34.3,35.3,27.7,24.9,24.5,27,52,81,115,145,180,207,226,271,293
"K100-P460",34.4,32.8,29.8,24.6,22.3,21.6,19.3,15.7,13.6,13.8,15,48,76,111,139,167,202,229,258,293
"K12-P1018",41.4,34.8,26.6,22,NA,NA,NA,NA,NA,NA,86,162,198,244,NA,NA,NA,NA,NA,NA
"K121-P3",42,52.1,56.3,41.3,38.2,38.2,38.6,40.1,38.2,33.9,10,33,61,102,124,153,191,215,246,269
"K117-P55",29.5,38,31,29.4,25.9,24,21,19,16.5,11,5,40,67,88,130,158,186,221,250,278
"K121-P10",38.2,34.4,44.3,39.2,33.8,NA,NA,NA,NA,NA,7,36,74,98,129,NA,NA,NA,NA,NA
