"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K130-P644",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P367",43.6,41.7,32.1,NA,NA,NA,NA,NA,NA,NA,51,125,194,NA,NA,NA,NA,NA,NA,NA
"K13-P510",22.8,34.2,32,30.2,27.8,27.7,26.7,25.2,22.7,NA,6,48,84,124,159,194,232,259,307,NA
"K11-P106",35.8,34.4,28.4,25.4,30,20.8,20,21.1,21,17.8,34,60,90,118,145,179,207,238,277,305
"K103-P193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P597",24.6,30.6,26.5,18.1,16.4,12.4,9.7,15.7,8.5,9,14,41,72,105,133,168,196,224,259,286
"K104-P260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K115-P46",34.2,39,38.8,40.4,38.2,33,30.6,26.2,27,25,8,31,59,94,122,150,185,213,240,268
"K128-P143",31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P1265",46.5,45.5,45.8,42,39.4,40.7,43.2,39.7,22.5,23,36,71,93,134,161,190,218,253,281,316
"K100-P554",41.4,47.4,44.1,33.6,29.2,23.5,20.9,19.1,16.5,10.7,20,47,78,111,139,174,202,230,265,292
"K123-P308",43.6,44.2,41.2,33.4,21.4,16.2,11.6,8.2,NA,NA,11,53,88,123,164,206,235,275,NA,NA
"K10-P160",NA,46.9,42.4,42.8,43.9,30.6,27.5,25.7,27.2,23.7,2,28,63,91,119,151,182,210,240,273
"K117-P67",32,44.4,39,32.4,32,33,31.6,28,23,25.9,12,47,76,111,138,159,201,229,257,292
"K118-P111",39.4,37,42.2,41.8,39.3,35.4,33.1,31,NA,NA,36,66,114,140,174,213,248,294,NA,NA
"K125-P71",45.5,55.2,54.8,49.6,48.2,44,42.6,43.3,29.2,25.5,9,39,74,101,120,165,187,221,255,284
"K116-P83",34.7,39.9,37,41.2,38.2,28.8,32.7,30.2,22.7,18.3,8,43,63,96,133,162,187,224,258,292
"K123-P339",23,22.4,23.6,21,20.2,19.2,19.6,16.6,17.2,16,32,67,108,150,179,219,250,291,325,368
"K1-P915",41.6,35.8,32.8,27.6,27,24.6,20.6,20,14.8,14.2,46,94,129,153,179,221,249,279,311,341
"K12-P802",32.1,27.5,24.9,20.8,NA,NA,NA,NA,NA,NA,166,240,309,386,NA,NA,NA,NA,NA,NA
"K118-P130",57.7,47.3,41.8,38.2,37,31.5,37.4,33.1,29.5,NA,42,77,123,154,183,214,252,297,319,NA
"K100-P458",43.5,44.7,46,47.3,41.4,43.2,37.6,31.7,42.4,29.8,30,58,86,121,148,177,212,243,268,303
"K13-P488",39.4,41,36.9,30.7,34.1,33.2,23.8,13.4,NA,NA,40,75,118,150,189,228,264,299,NA,NA
"K130-P683",41.5,41.4,40,43.6,42,38.8,37.6,35.6,NA,NA,36,63,105,141,168,209,240,282,NA,NA
"K118-P108",35.5,36.5,34.4,34.9,36.6,34.6,30.5,NA,NA,NA,18,60,95,124,173,203,277,NA,NA,NA
"K118-P116",36.6,29.2,31.7,39.8,31.5,36.2,35.1,31.8,NA,NA,31,57,91,130,165,211,242,271,NA,NA
"K128-P105",45.6,37.4,26.4,28,29.6,20.9,25.2,9.6,NA,NA,34,101,132,158,188,223,269,286,NA,NA
"K117-P53",43,47.5,44.8,47,42,41,34,32.5,NA,22.4,16,43,64,106,134,162,197,226,254,289
"K121-P122",54.4,52,49.7,45.6,43.9,37.6,38.7,33.4,34.6,32.9,38,62,93,116,160,191,223,252,283,312
"K13-P439",22.6,23.7,47.1,42.7,39.4,38.6,27.8,26.4,25.2,23.6,2,29,155,187,226,265,301,336,365,394
"K12-P322",37,35.2,30,24,23.3,21.2,19.3,NA,NA,NA,30,104,173,250,326,362,408,NA,NA,NA
"K126-P639",31.5,49.1,49.7,47,35.9,35.3,34.8,32.8,16.4,20.5,12,32,75,104,132,166,201,223,264,291
"K1-P1083",34.4,25,26.6,26,26,24.6,25.6,22.8,24.8,22,42,90,125,149,175,217,245,275,307,337
"K113-P407",36.5,32.8,41.7,29.8,31.6,28.1,31.4,25.9,25.6,22.5,28,57,92,119,147,184,211,240,267,302
"K126-P1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P700",48.4,50.2,42.2,42.4,34.8,35.4,28,32.6,37,24.8,20,55,79,105,147,175,205,237,267,301
"K130-P587",48.7,56.1,52.9,57.6,49.9,49.2,35.7,NA,NA,NA,40,76,115,145,194,221,263,NA,NA,NA
"K12-P925",37.2,31.2,28.9,31.9,NA,NA,NA,NA,NA,NA,183,260,336,372,NA,NA,NA,NA,NA,NA
"K1-P1086",41.8,39.8,33.2,26,20.2,12,11,NA,NA,NA,47,86,136,184,219,243,269,NA,NA,NA
"K110-P633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K105-P64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K123-P309",40.4,35.4,29.4,26,24.2,22.4,13.6,4.2,NA,NA,20,62,91,131,162,203,237,280,NA,NA
"K120-P47",20.6,21.8,27.2,21.4,35.4,15.8,15.8,NA,NA,NA,77,111,173,216,272,307,340,NA,NA,NA
"K12-P818",40.9,39.5,33.3,31.5,27.9,NA,NA,NA,NA,NA,16,93,169,205,251,NA,NA,NA,NA,NA
"K104-P400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K124-P388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K116-P165",26.8,32.8,34.6,30.7,29.8,31.1,21,26,25.6,21.9,11,43,71,102,173,193,226,263,292,317
"K112-P135",20.8,22.3,23.8,22.7,23.5,24.4,18.7,18,11.5,NA,10,45,78,103,131,166,193,221,256,NA
"K11-P98",33.9,38,37.2,32.7,28.5,29.2,26.9,26.9,22.5,20.5,16,44,75,114,142,170,198,226,254,283
"K1-P1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P362",41.1,39.3,38.8,28.1,31.9,31.5,26.6,25.6,20.8,16,22,55,83,118,146,174,209,236,265,300
"K105-P159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
